time,open,high,low,close,Sell,Buy,ATR,RSI
2022-06-30T07:30:00+03:00,20052,20060,20042,20059.5,0,0,20054.952264263295,46.340202299571786
2022-06-30T07:45:00+03:00,20059.5,20071,19998.5,20039.5,0,0,20055.774346346025,43.35552161480355
2022-06-30T08:00:00+03:00,20039.5,20063,19975,19981,1,0,20183.77778847357,36.04294019402455
2022-06-30T08:15:00+03:00,19981,20023,19959.5,20023,0,0,20183.81761979662,43.421263050143565
2022-06-30T08:30:00+03:00,20023,20047.5,19986,19990.5,0,0,20184.835037354384,39.61301029263583
2022-06-30T08:45:00+03:00,19990.5,20018,19966.5,19994,0,0,20185.916214711735,40.221062502888046
2022-06-30T09:00:00+03:00,19994,20019,19960,19982,0,0,20184.72146095946,38.77929483036467
2022-06-30T09:15:00+03:00,19982,19985,19760,19760.5,0,0,20175.946929129095,22.644105147968148
2022-06-30T09:30:00+03:00,19760.5,19775.5,19355,19502.5,0,0,20121.425348551442,14.878633098456461
2022-06-30T09:45:00+03:00,19502.5,19524,19325,19409.5,0,0,20105.82333733614,13.130615828508809
2022-06-30T10:00:00+03:00,19409.5,19441,19335.5,19374,0,0,20052.673740812603,12.525673651636737
2022-06-30T10:15:00+03:00,19374,19460,19292,19424,0,0,20041.074916906604,18.239150839716757
2022-06-30T10:30:00+03:00,19424,19426.5,19372.5,19400,0,0,19953.508089698487,17.643448526371444
2022-06-30T10:45:00+03:00,19400,19430,19359.5,19425.5,0,0,19912.27812184691,20.610343788214337
2022-06-30T11:00:00+03:00,19425.5,19429.5,19339,19372.5,0,0,19862.54674923225,19.07243500235741
2022-06-30T11:15:00+03:00,19372.5,19380.5,19222,19315,0,0,19842.371988873612,17.543016718781516
2022-06-30T11:30:00+03:00,19315,19333,19264.5,19292,0,0,19777.323581126257,16.957255816062442
2022-06-30T11:45:00+03:00,19292,19294.5,19122.5,19226,0,0,19757.87265662101,15.371179498330648
2022-06-30T12:00:00+03:00,19226,19245,18970,19075,0,0,19720.0733253578,12.492272406059143
2022-06-30T12:15:00+03:00,19075,19109,18930,18948.5,0,0,19686.744571796546,10.686531318771486
2022-06-30T12:30:00+03:00,18948.5,19055,18914,18994,0,0,19664.680669207664,15.422144883694756
2022-06-30T12:45:00+03:00,18994,19184,18993.5,19134,0,0,19649.009254810477,28.061427814819822
2022-06-30T13:00:00+03:00,19134,19155.5,19076,19133,0,0,19641.88528949875,28.029207243952882
2022-06-30T13:15:00+03:00,19133,19150,19063,19067,0,0,19577.648737314037,25.9142989099267
2022-06-30T13:30:00+03:00,19067,19079.5,19047.5,19075.5,0,0,19506.644853981583,26.68157826884446
2022-06-30T13:45:00+03:00,19075.5,19120,18964,19091.5,0,0,19494.047089677275,28.189207604220428
2022-06-30T14:00:00+03:00,19091.5,19098.5,19020,19073.5,0,0,19486.8429845184,27.504011756518423
2022-06-30T14:15:00+03:00,19073.5,19087.5,19028,19080.5,0,0,19471.769354352196,28.234574193778926
2022-06-30T14:30:00+03:00,19080.5,19158,19026,19030.5,0,0,19460.779773940958,26.203354475115347
2022-06-30T14:45:00+03:00,19030.5,19107.5,19006,19088.5,0,0,19453.25994853751,32.288625992036884
2022-06-30T15:00:00+03:00,19088.5,19116,19057,19075,0,0,19444.96202579826,31.634745851070363
2022-06-30T15:15:00+03:00,19075,19135.5,19056,19126,0,0,19439.19626919186,36.83855910647981
2022-06-30T15:30:00+03:00,19126,19270,19126,19236.5,0,0,19429.516484207204,46.364639823206055
2022-06-30T15:45:00+03:00,19236.5,19312,19157,19190.5,0,0,19420.7899484069,43.42824313406598
2022-06-30T16:00:00+03:00,19190.5,19248,19146,19171.5,0,0,19413.913154282265,42.23833061639966
2022-06-30T16:15:00+03:00,19171.5,19226,19151,19210,0,0,19410.814422097566,45.49710402221322
